,Unnamed: 0,keyword,pos
0,0,단호박밥,-1
1,1,커플카드지갑,2
2,2,디스커버리메신저백,1
3,3,페이로더,-1
4,4,수면양말,2
5,5,모니터,2
6,6,석회석,-1
7,7,일리호환캡슐,3
8,8,양털후리스,2
9,9,강화도어힌지,2
10,10,아우라제이,4
11,11,심으뜸,-1
12,12,용연향,-1
13,13,웨인스코팅셀프,3
14,14,톰브라운카드지갑,2
15,15,써스데이아일랜드모자,2
16,16,애집개미,-1
17,17,맛있는빵,5
18,18,발톱갈라짐,-1
19,19,실리콘물병,2
20,20,트랙탑,2
21,21,비비안웨스트우드멜리사,2
22,22,웨버바베큐그릴,2
23,23,우뭇가사리효능,-1
24,24,굽은어깨교정,2
25,25,로긴식기건조대,2
26,26,아미티셔츠,2
27,27,일회용나무젓가락,2
28,28,책상가림판,2
29,29,아이더등산화,3
30,30,스티커끈끈이제거,5
31,31,시트로엥,-1
32,32,레이온티셔츠,2
33,33,대기구필라테스,-1
34,34,옷디자인,-1
35,35,벤츠스프린터가격,-1
36,36,나시운동복,2
37,37,자동차놀이방매트,1
38,38,붙이는LED,2
39,39,카타나,1
40,40,캠핑미니트레일러,2
41,41,원목화분받침대,2
42,42,USB마우스,1
43,43,미니물병,1
44,44,납골당꽃,2
45,45,러닝복,2
46,46,노트북발열,-1
47,47,거실평상,4
48,48,인버디,3
49,49,사무실인테리어,4
50,50,다만프레르,4
51,51,아디다스슈퍼스타80S,2
52,52,수유브라,3
53,53,이마트체온계,3
54,54,자동차랩핑,4
55,55,전기차충전기설치비용,-1
56,56,발렌티노락스터드힐,2
57,57,파닭,-1
58,58,온몸이가려워요,-1
59,59,씽크대세제통,2
60,60,트위치방송하는법,-1
61,61,갈바간판,4
62,62,랩원피스,4
63,63,가슴뽕,2
64,64,여자팔찌,3
65,65,강아지해먹,2
66,66,루이비통클러치,2
67,67,TPM,6
68,68,SAFE,5
69,69,그리기쉬운그림,5
70,70,3단분리수거함,2
71,71,키즈레인코트,3
72,72,남성골프바람막이,1
73,73,양말인형만들기,2
74,74,강아지러그,2
75,75,곤약젤리,4
76,76,전주한옥마을한복대여,3
77,77,종이접시,2
78,78,바이오클펫,3
79,79,퓨마TX-3,1
80,80,스탠리비어파인트,1
81,81,장미허브,4
82,82,야마비시,3
83,83,PPF,1
84,84,어골칼슘,2
85,85,에어덕트,1
86,86,정리대,2
87,87,배가격,2
88,88,테사,-1
89,89,런래빗,-1
90,90,전기누전검사,-1
91,91,옥상방수페인트,2
92,92,페이스가드,2
93,93,에어리스건,2
94,94,남성구찌신발,3
95,95,에어바운스미끄럼틀,2
96,96,엄지발가락부음,-1
97,97,모공수축크림,2
98,98,북아트,2
99,99,남자밴딩바지,3
0,0,더킬존,1
1,1,입주박람회,-1
2,2,ZMI보조배터리,1
3,3,나노패드거치대,2
4,4,슬림핏슬랙스,2
5,5,도수치료가격,-1
6,6,인견상하복,1
7,7,생로랑벨트,3
8,8,보조배터리50000,1
9,9,누가내치즈를옮겼을까,-1
10,10,매직보드,2
11,11,고깃집테이블,2
12,12,콜맨타프,1
13,13,일렉트로룩스식기세척기,4
14,14,유리소스병,2
15,15,스마트그립,2
16,16,스텐깔대기,2
17,17,나이키에어베이퍼맥스,3
18,18,텀블러에코백,1
19,19,연적,5
20,20,1RM,-1
21,21,프라다백팩,3
22,22,흔하지않은이름,-1
23,23,일본식자재마트,-1
24,24,경동화물택배,-1
25,25,BSQT,3
26,26,스미노프보드카,-1
27,27,오쿠식품건조기,2
28,28,PC헤드셋,1
29,29,NT,-1
30,30,나이키골프웨어여성,2
31,31,TEMPUR,4
32,32,CROCODILE,4
33,33,텐바이텐매장,-1
34,34,힙업운동,-1
35,35,원뿔,4
36,36,책꽂이책상,2
37,37,수동잔디깍기,2
38,38,양주선물,5
39,39,오아가습기,1
40,40,그립톡제작,3
41,41,40대빅사이즈여성쇼핑몰,2
42,42,눕는의자,2
43,43,테이프커터기,2
44,44,티볼리에어차박,3
45,45,나이키크롭,2
46,46,지워지는형광펜,1
47,47,애니굿즈샵,4
48,48,아기젤리,2
49,49,뚱뚱한남자코디,-1
50,50,웍추천,2
51,51,업소용음료수냉장고,2
52,52,남자구찌벨트,3
53,53,로렌조올리브오일,2
54,54,형광양말,2
55,55,퓨리티젖병소독기,3
56,56,지미추샌들,2
57,57,인테리어박람회,-1
58,58,1인용소파,2
59,59,자전거타이어교체비용,5
60,60,주식전문가,-1
61,61,닥터에스리,4
62,62,내츄럴모모,3
63,63,명품가방,2
64,64,노비스야테시,1
65,65,토코토코,-1
66,66,사과봉지,2
67,67,니트로,-1
68,68,MBK,-1
69,69,체인크로스백,3
70,70,우체국박스5호,3
71,71,노트북전원이안켜져요,-1
72,72,홈쇼핑이불,2
73,73,실내크리닝,4
74,74,C컵브라,2
75,75,자동차목받침,2
76,76,붙이는벽지,2
77,77,여자여름셔츠,3
78,78,레나메진,-1
79,79,타임워치,2
80,80,사각휴지케이스,2
81,81,폭스바겐폴로,-1
82,82,모달원단,2
83,83,보테가크로스백,3
84,84,선세럼,1
85,85,에스테틱화장품,3
86,86,아기바람선풍기,3
87,87,물방석,2
88,88,어린이만들기,2
89,89,카펠리니,4
90,90,바이크보호대,2
91,91,인피니티Q60,-1
92,92,무인택배함사용법,-1
93,93,구리가격,-1
94,94,쿠키포장지,2
95,95,실내원피스,2
96,96,BIT,-1
97,97,SK6인용식기세척기,2
98,98,여자덧신,2
99,99,필라키즈운동화,2
0,0,반고텐트,2
1,1,버즈가구쇼파,4
2,2,스타벅스랜턴,2
3,3,현관신발정리대,2
4,4,타이백,2
5,5,소나타Y20,-1
6,6,젖꼭지패치,1
7,7,더마본드,4
8,8,대자리,2
9,9,세면대뚫어뻥,2
10,10,할인계산기,-1
11,11,신생아턱받이,3
12,12,메쏘드,2
13,13,예쁜침대커버,2
14,14,할라피뇨,3
15,15,부츠컷청바지,3
16,16,세라젬안마침대,3
17,17,국산차,-1
18,18,지류,4
19,19,브런치메뉴,-1
20,20,릴가방,2
21,21,구찌서류가방,2
22,22,코지마카이저,3
23,23,안전화싸게파는곳,2
24,24,압력,-1
25,25,리빙홈,4
26,26,타프웨빙스트랩,1
27,27,부산자동차용품,-1
